    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
   66.5000    12.5247    -4.9279     0.0435     2.3739     0.2789   115.9342   -66.2651  -999.2500    46.6553     7.8089     7.8754  -999.2500    -5.6437   118.1701
   67.0000    12.5114    -6.0952     0.0257     2.3640     0.2842   118.0547   -65.9639  -999.2500    43.7941     7.8089     7.9898  -999.2500   -14.0662   119.0580
   67.5000    12.5143    -7.2625    -0.0041     2.3508     0.2893   123.2027   -64.1566  -999.2500    44.0628     7.8089     8.0345  -999.2500   -29.9626   119.8711
   68.0000    12.5163    -8.4298     0.0186     2.3479     0.2806   127.1205   -62.5703  -999.2500    36.7470     7.8089     7.9200  -999.2500   -38.3851   119.4118
   68.5000    12.5189    -1.8090     0.0354     2.3533     0.2793   124.1110   -61.1446  -999.2500    37.0164     7.8089     7.9168  -999.2500   -39.3338   117.6051
   69.0000    12.5212    -3.2681     0.0446     2.3586     0.2808   118.9900   -60.5422  -999.2500    37.2314     7.8089     7.9137  -999.2500   -40.2840   116.2475
   69.5000    12.5235    -4.4354     0.0418     2.3617     0.2817   117.7903   -60.0904  -999.2500    37.4464     7.7549     7.9098  -999.2500   -41.2556   114.7403
   70.0000    12.5258   -13.1184     0.0120     2.3671     0.2804   123.8326   -59.9398  -999.2500    45.1915     7.7013     7.9067  -999.2500   -49.8908   114.5829
   70.5000    12.5430   -21.8141     0.0017     2.3747     0.2789   128.0629   -59.1867  -999.2500    52.9367     7.7013     7.9036  -999.2500   -43.3656   115.5431
   71.0000    12.5603   -30.7179     0.0109     2.3801     0.2758   129.5783   -56.3253  -999.2500    53.2053     7.7013     7.9004  -999.2500   -44.3143   116.9550
   71.5000    12.5926   -24.0971     0.0292     2.3947     0.2740   127.7755   -53.9157  -999.2500    53.4203     7.7013     7.9522  -999.2500   -45.2630   116.5569
   72.0000    12.6103   -25.5563     0.0444     2.4139     0.2635   124.1093   -53.8755  -999.2500    53.6352     7.7013     7.8934  -999.2500   -46.2116   115.3822
   72.5000    12.6275   -18.9355     0.0446     2.4225     0.2568   122.6616   -54.5432  -999.2500    46.2663     7.7013     7.8903  -999.2500   -47.1603   114.5265
   73.0000    12.6329   -12.6065     0.0418     2.4278     0.2607   125.6871   -55.1205  -999.2500    46.5351     7.7013     7.8872  -999.2500   -55.3456   114.5911
   73.5000    12.6770   -14.0657     0.0404     2.4310     0.2660   129.6158   -53.0120  -999.2500    46.8038     7.8089     7.9389  -999.2500   -49.0284   115.3293
   74.0000    12.6942   -22.7292     0.0391     2.4333     0.2735   129.6229   -49.5482  -999.2500    47.0188     7.8089     8.0465  -999.2500   -42.5262   116.6664
   74.5000    12.7264   -38.9055     0.0425     2.4199     0.2828   129.0267   -45.3313  -999.2500    39.6499     7.9181     8.0672  -999.2500   -43.4978   117.9286
   75.0000    12.7437   -41.3541     0.0531     2.4117     0.2929   129.9406   -41.5663  -999.2500    47.4487     7.9732     8.0961  -999.2500   -51.9432   118.8914
   75.5000    12.7459   -49.0117     0.0517     2.4051     0.2935   131.1544   -38.8554  -999.2500    47.6657     8.0847     8.2058  -999.2500   -53.0895   119.4799
   76.0000    12.7482   -42.3909     0.0355     2.3960     0.2806   130.5582   -37.0482  -999.2500    47.8916     8.2548     8.2589  -999.2500   -46.5644   119.3948
   76.5000    12.7506   -28.5657     0.0552     2.3870     0.2721   127.8522   -36.1446  -999.2500    48.1474     8.3701     8.3130  -999.2500   -54.7497   119.0851
   77.0000    12.7529   -22.2367     0.0674     2.3821     0.2765   127.5559   -35.9940  -999.2500    55.8925     8.5463     8.3089  -999.2500   -48.2245   118.7745
   77.5000    12.7707   -23.6959     0.0646     2.3837     0.2875   126.9597   -36.1446  -999.2500    48.5773     8.7261     8.2482  -999.2500   -41.6993   118.3758
   78.0000    12.8028   -17.3669     0.0528     2.3853     0.2948   124.2537   -36.4458  -999.2500    48.7952     8.9717     8.1880  -999.2500   -35.1742   117.4051
   78.5000    12.8198   -18.5342     0.0289     2.3802     0.2828   122.1233   -36.7470  -999.2500    41.4772     9.2243     8.0721  -999.2500   -28.8490   116.4966
   79.0000    12.8261   -19.7152     0.0461     2.3787     0.2686   120.6498   -37.0482  -999.2500    41.7459     9.3532     8.0681  -999.2500   -14.8730   115.4385
   79.5000    12.8396   -20.9145     0.0533     2.3849     0.2608   120.9586   -37.1988  -999.2500    41.9428     9.3532     8.1218  -999.2500    -0.8882   114.9791
   80.0000    12.8569   -29.8242     0.0206     2.3970     0.2442   121.5690   -37.1988  -999.2500    42.1687     9.4184     8.1178  -999.2500   -10.3388   115.1186
   80.5000    12.8741   -30.9915     0.0147     2.4017     0.2421   122.1795   -37.0482  -999.2500    42.3946     9.2816     8.1719  -999.2500   -32.9180   117.2041
   81.0000    12.8764   -32.0090     0.0179     2.4048     0.2450   118.2668   -37.0482  -999.2500    42.6205     8.9717     8.1103  -999.2500   -56.2882   118.2443
   81.5000    12.8787   -33.2084     0.0362     2.4026     0.2558   106.8109   -36.4458  -999.2500    42.8464     8.6058     6.8177  -999.2500   -64.7108   118.2315
   82.0000    12.9270   -34.4934     0.0574     2.3922     0.2612    92.6406   -35.8434  -999.2500    43.0723     8.1410     6.3587  -999.2500   -35.7641   117.6973
   82.5000    12.9731   -35.6607     0.0395     2.3788     0.2667    83.2963   -35.2410  -999.2500    43.2982     7.8089     6.5349   131.6539   -29.2389   117.0134
   83.0000    13.0058   -29.3317     0.0292     2.3676     0.2887    75.7620   -34.6386  -999.2500    43.5241     7.3871     6.6235    14.9424   -30.1876   117.0030
   83.5000    13.0081   -30.5097     0.0240     2.3587     0.2995    75.7868   -34.7892  -999.2500    43.7702     7.1849     6.7632     8.5839   -31.1362   117.1632
   84.0000    13.0253   -31.7091     0.0131     2.3543     0.2901    78.1913   -35.2410  -999.2500    43.9852     7.0858     6.8042     6.8300   -47.0326   117.8783
