   DEPTH     ILD     GR      RHOB     DT
 1518.0000 12.2510 110.2600  2.2610 112.5440
 1518.0500 12.2280 110.2600  2.2590 112.5440
 1518.1000 12.2280 110.2600  2.2570 112.5440
 1518.1500 12.2400 110.8390  2.2540 112.5950
 1518.2000 12.2510 110.8390  2.2500 112.5950
 1518.2500 12.2740 110.8390  2.2480 112.5950
 1518.3000 12.3200 107.6730  2.2500 114.0980
 1518.3500 12.3430 107.6730  2.2540 114.0980
 1518.4000 12.2280 107.6730  2.2600 114.0980
 1518.4500 12.2050 105.9160  2.2650 113.3060
 1518.5000 12.2280 105.9160  2.2700 113.3060
 1518.5500 12.2280 105.9160  2.2740 113.3060
 1518.6000 12.3780 112.7660  2.2780 112.5360
 1518.6500 12.7350 112.7660  2.2820 112.5360
 1518.7000 12.7000 112.7660  2.2840 112.5360
 1518.7500 12.7810 114.6750  2.2790 113.0400
 1518.8000 12.6200 114.6750  2.2730 113.0400
 1518.8500 12.3090 114.6750  2.2680 113.0400
 1518.9000 12.3200 112.4510  2.2630 113.1790
 1518.9500 12.3320 112.4510  2.2600 113.1790
 1519.0000 12.3430 112.4510  2.2570 113.1790
 1519.0500 12.5510 106.9940  2.2520 113.9550
 1519.1000 12.4700 106.9940  2.2480 113.9550
 1519.1500 12.3090 106.9940  2.2450 113.9550
 1519.2000 12.2970 105.7080  2.2430 113.6180
 1519.2500 12.2970 105.7080  2.2430 113.6180
 1519.3000 12.2970 105.7080  2.2420 113.6180
 1519.3500 12.2970 105.7080  2.2410 113.6180
 1519.4000 12.2860 102.9080  2.2410 114.2690
 1519.4500 12.2740 102.9080  2.2430 114.2690
 1519.5000 12.2510 102.9080  2.2460 114.2690
 1519.5500 12.2970 109.1080  2.2520 113.9250
 1519.6000 12.2630 109.1080  2.2580 113.9250
 1519.6500 12.2740 109.1080  2.2650 113.9250
 1519.7000 12.3890 111.6490  2.2720 113.6460
 1519.7500 12.3430 111.6490  2.2790 113.6460
 1519.8000 12.2970 111.6490  2.2850 113.6460
 1519.8500 12.5280 121.3340  2.2870 113.7570
 1519.9000 12.2630 121.3340  2.2840 113.7570
 1519.9500 12.2740 121.3340  2.2730 113.7570
 1520.0000 12.2970 115.8790  2.2650 112.4960
 1520.0500 12.3780 115.8790  2.2580 112.4960
 1520.1000 12.7120 115.8790  2.2540 112.4960
 1520.1500 12.8040 111.9010  2.2490 111.7990
 1520.2000 12.7350 111.9010  2.2440 111.7990
 1520.2500 12.2050 111.9010  2.2410 111.7990
 1520.3000 12.2050 109.5560  2.2420 110.1090
 1520.3500 12.2050 109.5560  2.2490 110.1090
 1520.4000 12.2170 109.5560  2.2620 110.1090
 1520.4500 12.2280 106.9990  2.2700 109.4190
 1520.5000 12.2280 106.9990  2.2730 109.4190
 1520.5500 12.2510 106.9990  2.2740 109.4190
 1520.6000 12.2740 108.4650  2.2760 108.7100
 1520.6500 12.3320 108.4650  2.2800 108.7100
 1520.7000 12.6430 108.4650  2.2840 108.7100
 1520.7500 12.2970 102.1500  2.2840 107.9410
 1520.8000 12.2740 102.1500  2.2810 107.9410
 1520.8500 12.2630 102.1500  2.2780 107.9410
 1520.9000 12.2280 105.2910  2.2780 107.6060
 1520.9500 12.2510 105.2910  2.2820 107.6060
 1521.0000 12.5740 105.2910  2.2850 107.6060
 1521.0500 12.2740 102.1050  2.2870 107.7540
 1521.1000 12.2860 102.1050  2.2860 107.7540
 1521.1500 12.2740 102.1050  2.2830 107.7540
 1521.2000 12.2740 101.2890  2.2810 107.6240
 1521.2500 12.2740 101.2890  2.2800 107.6240
 1521.3000 12.2970 101.2890  2.2830 107.6240
 1521.3500 12.3430 101.1450  2.2840 108.8290
 1521.4000 12.2970 101.1450  2.2800 108.8290
 1521.4500 12.2510 101.1450  2.2750 108.8290
 1521.5000 12.2280 102.0290  2.2720 110.2930
 1521.5500 12.2280 102.0290  2.2710 110.2930
 1521.6000 12.1940 102.0290  2.2700 110.2930
 1521.6500 12.2050 102.1010  2.2690 112.3380
 1521.7000 12.2050 102.1010  2.2690 112.3380
 1521.7500 12.1820 102.1010  2.2680 112.3380
 1521.8000 12.1940 98.6860  2.2690 114.4980
 1521.8500 12.1820 98.6860  2.2720 114.4980
 1521.9000 12.1590 98.6860  2.2720 114.4980
 1521.9500 12.3200 101.4790  2.2710 114.6500
 1522.0000 12.6660 101.4790  2.2720 114.6500
 1522.0500 13.1610 101.4790  2.2760 114.6500
 1522.1000 13.1610 106.9900  2.2800 114.5560
 1522.1500 12.2510 106.9900  2.2820 114.5560
 1522.2000 12.2510 106.9900  2.2780 114.5560
 1522.2500 12.2970 113.2710  2.2740 114.1310
 1522.3000 12.7580 113.2710  2.2710 114.1310
 1522.3500 12.5280 113.2710  2.2730 114.1310
 1522.4000 12.2280 112.1950  2.2750 113.0780
 1522.4500 12.3430 112.1950  2.2750 113.0780
 1522.5000 12.9310 112.1950  2.2770 113.0780
 1522.5500 12.4820 112.1950  2.2770 113.0780
 1522.6000 12.2280 112.8920  2.2760 111.9770
 1522.6500 12.2280 112.8920  2.2770 111.9770
