  DEPTH     ILD     GR      RHOB     DT
 485.4000  0.5170 65.8828  1.7600 198.4900
 485.5000  0.5420 66.8381  1.7380 197.8850
 485.6000  0.5610 68.2738  1.7200 197.6840
 485.7000  0.5610 67.5127  1.7200 197.6840
 485.8000  0.5940 65.4893  1.6960 196.4810
 485.9000  0.5670 65.3223  1.7310 194.6780
 486.0000  0.5670 65.9654  1.7310 194.6780
 486.1000  0.5510 67.0232  1.8010 193.4750
 486.2000  0.5930 66.4415  1.9340 192.0710
 486.3000  0.5930 66.4008  1.9340 192.0710
 486.4000  0.5850 65.2886  1.9480 191.6680
 486.5000  0.5830 63.4586  1.9070 191.4660
 486.6000  0.5830 62.3010  1.9070 191.4660
 486.7000  0.5170 62.5567  1.8390 189.2630
 486.8000  0.5230 63.9156  1.7700 189.4600
 486.9000  0.5230 63.3115  1.7700 189.4600
 487.0000  0.5830 61.3204  1.7030 188.6510
 487.1000  0.5830 58.5847  1.6770 187.4470
 487.2000  0.5830 58.0862  1.6770 187.4470
 487.3000  0.6060 59.4771  1.7150 190.2440
 487.4000  0.5490 62.0098  1.8730 192.8400
 487.5000  0.5490 65.5011  1.8730 192.8400
 487.6000  0.5160 66.7369  1.8000 193.6380
 487.7000  0.5340 65.7016  1.6590 194.6350
 487.8000  0.5340 62.3134  1.6590 194.6350
 487.9000  0.5850 59.0582  1.4820 196.6310
 488.0000  0.6120 55.9832  1.4050 199.0280
 488.1000  0.6120 54.2739  1.4050 199.0280
 488.2000  0.6250 54.1343  1.3770 201.6250
 488.3000  0.5850 55.5337  1.3610 202.8220
 488.4000  0.5850 57.7139  1.3610 202.8220
 488.5000  0.5930 59.8751  1.3590 202.4200
 488.6000  0.5930 62.2911  1.3590 202.4200
 488.7000  0.5780 64.3333  1.3630 203.4170
 488.8000  0.5990 66.0812  1.4010 200.6140
 488.9000  0.5990 66.2793  1.4010 200.6140
 489.0000  0.5810 65.4433  1.4890 201.0100
 489.1000  0.5960 64.5782  1.6240 202.8080
 489.2000  0.5960 65.2503  1.6240 202.8080
 489.3000  0.5970 65.7564  1.7940 200.4050
 489.4000  0.5630 66.3978  1.8960 198.8020
 489.5000  0.5630 65.6923  1.8960 198.8020
 489.6000  0.5190 65.6789  1.9170 195.1990
 489.7000  0.4730 65.0989  1.9230 192.7960
 489.8000  0.4730 64.1650  1.9230 192.7960
 489.9000  0.4940 63.3224  1.9230 196.7930
 490.0000  0.4690 64.5191  1.9450 199.1890
 490.1000  0.4690 66.5744  1.9450 199.1890
 490.2000  0.4580 67.7643  1.9670 199.7870
 490.3000  0.4510 66.9965  2.0040 199.5830
 490.4000  0.4510 64.9417  2.0040 199.5830
 490.5000  0.4700 61.7043  1.9620 201.1810
 490.6000  0.4570 58.0673  1.8610 202.5750
